,city,city_n
0,Thurman,0
2,Detroit,1
4,Swedesboro,2
5,Renton,3
6,Seattle,4
7,Seaside,5
9,San Jose,6
10,Stockton,7
11,San Francisco,8
12,San Luis Obispo,9
13,Gardena,10
14,Los Angeles,11
18,Berkley,12
19,Andover,13
20,Stoughton,14
21,Weston,15
23,Highland Park,16
24,Ottawa Lake,17
25,Madison Heights,18
26,Burton,19
27,Hazel Park,20
28,Flint,21
29,Greenwich,22
30,Queensbury,23
31,West Coxsackie,24
32,Albany,25
33,Salt Point,26
36,Bainbridge,27
38,Grand Rapids,28
39,Pittsford,29
40,Rochester,30
43,Spencerport,31
46,Syracuse,32
47,Churchville,33
48,Pennsauken,34
49,West Orange,35
50,Philadelphia,36
51,Toms River,37
52,Hempstead,38
53,New York,39
54,Brooklyn,40
56,Jersey City,41
57,Woodbury,42
58,Drexel Hill,43
59,Newburgh,44
60,Runnemede,45
61,Perth Amboy,46
62,Woodbridge,47
63,Blackwood,48
65,Bronx,49
66,Wharton,50
67,Hillside,51
69,Washington,52
70,Danbury,53
71,Jamaica,54
72,Rye,55
76,Norwalk,56
79,Staten Island,57
80,Elmhurst,58
83,Wall Township,59
84,Wilmington,60
86,Fort Lee,61
87,West Hempstead,62
88,Conshohocken,63
89,Monmouth Junction,64
90,Malverne,65
93,Hartford,66
94,Warwick,67
96,Pittsburgh,68
99,Leechburg,69
100,Du Bois,70
101,Johnstown,71
103,Greenwood,72
104,Fredericksburg,73
105,Shrewsbury,74
107,Denver,75
108,Manassas,76
109,Alexandria,77
111,Falls Church,78
112,Strasburg,79
114,Centreville,80
115,Williamsport,81
118,Frederick,82
119,Bethel,83
122,Halethorpe,84
123,Indianapolis,85
124,Louisville,86
129,Prospect,87
130,Latonia,88
131,Toledo,89
132,Cincinnati,90
133,Salisbury,91
134,Hickory,92
135,Hildebran,93
136,Charlotte,94
144,Salem,95
145,Danville,96
147,China Grove,97
148,Chesnee,98
149,Richmond,99
150,Newport News,100
151,Hampton,101
152,Benson,102
154,Cape Charles,103
155,Raleigh,104
156,Virginia Beach,105
159,Zebulon,106
160,Suffolk,107
163,Roanoke Rapids,108
164,Miami,109
165,Deerfield Beach,110
166,Fort Lauderdale,111
167,Delray Beach,112
170,Hollywood,113
172,Orlando,114
184,Clearwater,115
186,Saint Petersburg,116
187,Myakka City,117
188,Tampa,118
189,Fountain Inn,119
190,Columbia,120
192,Myrtle Beach,121
195,Taylors,122
196,Spartanburg,123
198,Atlanta,124
200,Greenville,125
201,Lexington,126
202,Piedmont,127
203,Gaston,128
205,Clinton,129
207,Westminster,130
212,Decatur,131
216,Madison,132
217,Jacksonville,133
218,Yemassee,134
219,Walterboro,135
220,Georgetown,136
221,Orangeburg,137
225,Augusta,138
226,Pineland,139
229,Saint Matthews,140
230,Moncks Corner,141
231,High Ridge,142
232,Saint Louis,143
236,Bridgeton,144
239,Fairfax,145
240,Minneapolis,146
242,Jackson,147
243,Watseka,148
