,city,city_n
244,North Platte,149
247,Saint Paul,150
249,Chisago City,151
250,Anoka,152
251,Litchfield,153
253,Marine on Saint Croix,154
255,Kansas City,155
256,Hazelwood,156
259,Carlton,157
260,Naperville,158
261,Elgin,159
262,Des Moines,160
263,Hazel Crest,161
264,Niles,162
265,San Antonio,163
268,Del Valle,164
269,Pflugerville,165
270,Austin,166
271,Fort Worth,167
277,Oklahoma City,168
283,Irving,169
285,Baton Rouge,170
295,Tulsa,171
296,Dallas,172
303,Memphis,173
306,Saint Rose,174
307,Kenner,175
308,Tuscaloosa,176
310,Pensacola,177
311,Nashville,178
313,Brentwood,179
314,Maplesville,180
315,Mc Ewen,181
316,Birmingham,182
318,Grady,183
319,Blountsville,184
320,Letohatchee,185
321,Clanton,186
322,Oxford,187
324,Shreveport,188
325,Houston,189
342,Huntsville,190
344,Cypress,191
354,Cedar City,192
355,New Harmony,193
356,Englewood,194
357,Provo,195
359,Sandy,196
360,Midvale,197
363,Mesa,198
364,Williams,199
365,Scottsdale,200
366,Phoenix,201
368,Glendale,202
370,Flagstaff,203
376,Woodburn,204
379,Monroe,205
380,Arlington,206
381,Portland,207
382,Minden,208
383,Floriston,209
384,Shaver Lake,210
385,Reno,211
386,Antioch,212
387,Vallejo,213
389,Los Gatos,214
391,Hercules,215
393,San Mateo,216
395,Oakland,217
398,Clearlake,218
399,Oakdale,219
400,Redwood City,220
403,Emeryville,221
404,Delhi,222
405,Sacramento,223
407,Alta,224
417,Tracy,225
419,San Rafael,226
420,Petaluma,227
421,Ukiah,228
422,San Ardo,229
423,Carpinteria,230
424,Tulare,231
425,Nipomo,232
426,Exeter,233
427,California Hot Springs,234
428,Lindsay,235
429,Mendota,236
430,Mc Farland,237
431,Clovis,238
432,San Diego,239
435,Carlsbad,240
436,Mira Loma,241
437,Ontario,242
441,Fontana,243
442,Long Beach,244
443,Hawthorne,245
444,Corona,246
445,Bloomington,247
448,Escondido,248
449,Irvine,249
452,Bell Gardens,250
453,Riverside,251
455,Whittier,252
456,Anaheim,253
457,Jurupa Valley,254
461,Laguna Hills,255
462,Buena Park,256
463,Lake Elsinore,257
468,Lebec,258
470,Baldwin Park,259
473,Compton,260
474,Perris,261
478,Newport Beach,262
480,Grand Island,263
481,Danvers,264
482,Roxbury Crossing,265
483,Lynnfield,266
484,Rockland,267
485,Pawtucket,268
486,Auburn,269
490,Grand Blanc,270
493,Fenton,271
497,Dearborn,272
505,Lincoln,273
506,Bedford,274
507,Greenfield,275
508,Warrensburg,276
511,Schenectady,277
513,Selkirk,278
516,Saint Clair Shores,279
517,Towanda,280
520,Le Roy,281
531,Ardsley,282
532,Paterson,283
533,Plymouth Meeting,284
534,Fishkill,285
535,Yonkers,286
536,Somers,287
540,Scotrun,288
541,Bensalem,289
542,Holmes,290
543,Mount Holly,291
545,Bethlehem,292
546,Middletown,293
547,Secaucus,294
548,Flushing,295
549,Feasterville Trevose,296
551,Blakeslee,297
552,Gibbstown,298
554,Irvington,299
555,Westport,300
556,Woodlyn,301
557,New Haven,302
559,Downingtown,303
560,Newark,304
561,Seaford,305
565,Nyack,306
566,Paramus,307
567,Mamaroneck,308
569,East Brunswick,309
570,New Paltz,310
571,Edison,311
572,Bayside,312
573,Melville,313
574,Glastonbury,314
575,Cranberry Township,315
576,South Fork,316
577,Donegal,317
578,Mount Pleasant,318
579,Ligonier,319
582,Spangler,320
584,Bloomsburg,321
587,York,322
589,Sterling,323
590,Ashburn,324
591,Hagerstown,325
594,Rockville,326
595,Chevy Chase,327
596,Bethesda,328
599,Harrisburg,329
600,New Holland,330
602,Clarksburg,331
603,Boalsburg,332
606,Silver Spring,333
609,Myerstown,334
610,Bellefonte,335
614,Spotsylvania,336
622,Lake Station,337
624,Remington,338
628,Independence,339
629,Columbus,340
630,Covington,341
631,Piqua,342
632,Dayton,343
633,Reynoldsburg,344
634,Canton,345
635,Johnson City,346
636,Chattanooga,347
638,Mc Donald,348
639,Crossville,349
640,Knoxville,350
647,Mint Hill,351
652,Boiling Springs,352
665,Bristol,353
668,Greensboro,354
669,Inman,355
670,Troutville,356
671,Winston Salem,357
675,Lambsburg,358
680,Kings Mountain,359
681,Princeton,360
683,Henrico,361
685,North Chesterfield,362
686,Powhatan,363
687,Boydton,364
695,La Crosse,365
696,Ashland,366
697,Clarksville,367
702,Lehigh Acres,368
703,Naples,369
706,Lake Worth,370
707,Opa Locka,371
709,Pembroke Pines,372
711,West Palm Beach,373
712,Hialeah,374
714,Gainesville,375
715,Wildwood,376
716,Ocala,377
721,Homestead,378
730,Port Saint Lucie,379
732,Bradenton,380
733,Sarasota,381
734,Largo,382
735,Palm Harbor,383
736,Tarpon Springs,384
738,Ellenton,385
744,St Pete Beach,386
747,Florence,387
748,Dillon,388
751,Blair,389
752,Simpsonville,390
754,Atlanta-Decatur,391
759,Bishopville,392
760,Mauldin,393
762,Pelzer,394
763,Duncan,395
764,Camden,396
765,Iva,397
766,Waterloo,398
767,Anderson,399
770,Greer,400
773,Union,401
790,Marietta,402
792,Laurens,403
794,Townville,404
810,Norcross,405
813,Lynchburg,406
816,Tallahassee,407
822,Brunswick,408
824,Newton,409
825,Abbeville,410
826,Forest Park,411
828,Beaufort,412
829,Stockbridge,413
831,Hemingway,414
832,Ladson,415
833,Murrells Inlet,416
834,Holly Hill,417
841,Bowman,418
842,Perry,419
844,Estill,420
845,Summerville,421
847,Grovetown,422
849,Midland,423
852,Arnold,424
856,Chaska,425
858,North Mankato,426
860,Jordan,427
865,Shakopee,428
866,Hopkins,429
869,Lakeville,430
873,Newport,431
875,Winona,432
876,Albert Lea,433
877,Omaha,434
878,Palmyra,435
880,Swan River,436
881,Maple Grove,437
884,Avon,438
886,Sauk Centre,439
887,Osseo,440
894,Saint Charles,441
895,Milwaukee,442
897,Tamarack,443
898,Aitkin,444
899,Dalton,445
901,Cedar Rapids,446
902,Chicago,447
904,Coal Valley,448
905,Justice,449
907,Springfield,450
916,Jones,451
922,Joshua,452
924,Cedar Hill,453
931,Round Rock,454
933,North Richland Hills,455
935,Taylor,456
943,Daphne,457
958,New Orleans,458
967,Morris,459
968,Hanceville,460
969,Warrior,461
970,Jemison,462
972,Cullman,463
977,Gardendale,464
981,Harvest,465
983,Alabaster,466
985,Montgomery,467
987,Fort Deposit,468
990,Brundidge,469
992,Crestview,470
993,Mount Juliet,471
994,Banks,472
995,Ellisville,473
1020,Nephi,474
1022,Helper,475
1023,Fairview,476
1025,Larkspur,477
1026,Lone Tree,478
1027,Snowville,479
1028,Thompson,480
1029,Pueblo,481
1030,Paragonah,482
1033,West Jordan,483
1034,Fort Collins,484
1035,Mountain Home,485
1036,Taylorsville,486
1037,Brighton,487
1038,Draper,488
1039,Salt Lake City,489
1041,Ogden,490
1046,Clearfield,491
1047,Surprise,492
1053,Apache Junction,493
1060,Avondale,494
1063,Albuquerque,495
1068,Wolf Creek,496
1069,Myrtle Point,497
1070,Silverton,498
1071,Eugene,499
1072,Corvallis,500
1073,Gig Harbor,501
1079,Marysville,502
1080,Lynnwood,503
1082,Mount Vernon,504
1087,Anacortes,505
1089,Federal Way,506
1090,Tukwila,507
1093,Tacoma,508
1094,Everett,509
1098,Vancouver,510
1105,Bridal Veil,511
1106,Beaverton,512
1107,Woodland,513
1108,Mount Hood Parkdale,514
1109,Bellingham,515
1111,Schurz,516
1112,Salida,517
1118,San Leandro,518
1121,Modesto,519
1122,Norden,520
1123,Alamo,521
1124,Lathrop,522
1125,Pleasanton,523
1129,Dixon,524
1130,Rocklin,525
1133,French Camp,526
1136,Hayward,527
1137,Daly City,528
1139,Vacaville,529
1142,San Lorenzo,530
1143,Byron,531
1144,Castro Valley,532
1146,Battle Mountain,533
1150,Mill Valley,534
1152,Corte Madera,535
1153,Santa Rosa,536
1154,Camarillo,537
1155,Fresno,538
1156,Goleta,539
1157,Bakersfield,540
1158,Ventura,541
1162,Sun Valley,542
1164,Simi Valley,543
1166,La Puente,544
1171,Garden Grove,545
1172,Tujunga,546
1173,Sunland,547
1174,Valencia,548
1178,Newhall,549
1179,Valley Village,550
1180,Sherman Oaks,551
1187,Chino,552
1188,Cerritos,553
1199,Norco,554
1201,Encino,555
1203,Temecula,556
1204,Tustin,557
1216,Rowland Heights,558
1224,Vista,559
1227,Encinitas,560
1233,Phelan,561
1238,Moreno Valley,562
1239,Colton,563
1249,San Bernardino,564
1250,Rialto,565
1256,Fallbrook,566
1262,Acton,567
1264,Running Springs,568
1266,San Juan Capistrano,569
1269,Santa Ana,570
1274,Calabasas,571
1276,Lake Hughes,572
1277,Tehachapi,573
1278,La Jolla,574
1279,Llano,575
1282,Crestline,576
1287,Redlands,577
1293,North Hollywood,578
1295,Cedarpines Park,579
1298,Azusa,580
1312,Seal Beach,581
1316,Paramount,582
1317,Lynwood,583
1318,South Gate,584
1322,Murrieta,585
1326,Capistrano Beach,586
1329,Culver City,587
1331,Tarzana,588
1335,Duke Center,589
1336,Buffalo,590
1337,Cambridge,591
1338,Falmouth,592
1341,Rehoboth,593
1342,Billerica,594
1343,Waltham,595
1344,Moultonborough,596
1345,Providence,597
1348,Pelham,598
1350,Dedham,599
1353,Madbury,600
1354,Methuen,601
1356,Boston,602
1357,Wakefield,603
1359,Quincy,604
1360,Tewksbury,605
1361,Amesbury,606
1362,Londonderry,607
1365,Charlestown,608
1366,Randolph,609
1367,Allston,610
1368,Reading,611
1369,Manchester,612
1371,Davison,613
1373,Plymouth,614
1374,Westland,615
1375,Belleville,616
1376,Lincoln Park,617
1378,Novi,618
1379,Ann Arbor,619
1381,Royal Oak,620
1385,Swartz Creek,621
1387,Grass Lake,622
1390,Dunbarton,623
1392,Granville,624
1393,Weare,625
1394,Windsor,626
1395,Craryville,627
1397,Ashby,628
1399,Old Chatham,629
1400,East Hartford,630
1401,Worcester,631
1402,Watervliet,632
1404,Hallstead,633
1406,Rome,634
1407,Kingston,635
1408,Saratoga Springs,636
1409,Guilderland,637
1411,Paw Paw,638
1413,Nunica,639
1414,Roseville,640
1415,Harrison Township,641
1416,Middlebury Center,642
1418,Montour Falls,643
1421,Coudersport,644
1424,Huntington Station,645
1426,Rosedale,646
1428,Merion Station,647
1429,Berwyn,648
1435,Oceanside,649
1438,Richmond Hill,650
1439,Stamford,651
1440,Willingboro,652
1448,Phillipsburg,653
1449,Nesconset,654
1450,Chester,655
1451,Port Jefferson Station,656
1452,Belvidere,657
1455,Hightstown,658
1456,Coram,659
1458,Katonah,660
1460,Armonk,661
1461,Royersford,662
1462,Summit,663
1463,West Berlin,664
1464,Dix Hills,665
1466,Bethpage,666
1469,Selden,667
1471,Merrick,668
1473,North Brunswick,669
1474,Narberth,670
1475,North Babylon,671
1477,Easton,672
1480,Oreland,673
1484,Elizabeth,674
1485,Whitestone,675
1486,Kearny,676
1487,North Haven,677
1488,Bala Cynwyd,678
1490,Keasbey,679
1491,White Plains,680
1493,Moosic,681
1494,Milford,682
1495,Hasbrouck Heights,683
1498,Brewster,684
1499,Seymour,685
1502,Trumbull,686
1503,Marcus Hook,687
1504,Short Hills,688
1505,East Elmhurst,689
1506,Little Neck,690
1508,Watchung,691
1511,Long Island City,692
1512,Leonia,693
1516,Monroe Township,694
1518,Manorville,695
1519,East Greenwich,696
1520,Eastport,697
1521,Branford,698
1523,Norwich,699
1525,East Lyme,700
1531,Harrisonburg,701
1533,Akron,702
1534,Wexford,703
1536,Gibsonia,704
1537,Shippenville,705
1538,Boswell,706
1540,Cleveland,707
1543,Alliance,708
1544,Morgantown,709
1545,Gaithersburg,710
1548,Manheim,711
1551,Upper Marlboro,712
1558,Ephrata,713
1562,Huntingdon,714
1563,Camp Hill,715
1564,District Heights,716
1569,Perryville,717
1570,Winchester,718
1574,Boyce,719
1576,Lorton,720
1579,Imler,721
1582,Potomac,722
1584,Oakton,723
1585,Hyattsville,724
1586,Rebersburg,725
1587,Oxon Hill,726
1589,Lancaster,727
1595,Keswick,728
1607,Petersburg,729
1609,Gary,730
1613,Lewis Center,731
1623,Elyria,732
1627,Lakewood,733
1638,Miamisburg,734
1639,Wooster,735
1643,Clayton,736
1644,Powell,737
1647,Delaware,738
1652,Hendersonville,739
1655,Asheville,740
1656,Unicoi,741
1661,Cary,742
1668,Blacksburg,743
1674,Huntersville,744
1675,Evington,745
1676,Halifax,746
1678,Clover,747
1680,Clifton Forge,748
1684,Cowpens,749
1691,Bluefield,750
1695,Norfolk,751
1696,Williamsburg,752
1697,Midlothian,753
1699,Glen Allen,754
1701,Knightdale,755
1702,Emporia,756
1703,Garner,757
1713,Morrisville,758
1715,Fuquay Varina,759
1718,Wendell,760
1732,Scottsville,761
1734,Mineral,762
1742,Chesterfield,763
1748,Selma,764
1756,Victoria,765
1761,Boynton Beach,766
1763,Boca Raton,767
1764,Pompano Beach,768
1766,Lauderdale Lakes,769
1778,Fort Myers,770
1799,Hallandale,771
1805,Estero,772
1813,Palm Beach Gardens,773
1814,Maitland,774
1818,Apopka,775
1821,Brooksville,776
1825,Gotha,777
1828,Summerfield,778
1832,Winter Park,779
1836,Lake Panasoffkee,780
1837,Okahumpka,781
1839,Mims,782
1842,Winter Garden,783
1846,Leesburg,784
1849,Sanford,785
1850,Daytona Beach,786
1857,Lake Mary,787
1870,Lakeland,788
1871,Lutz,789
1873,Palm City,790
1874,Champions Gate,791
1877,Saint Cloud,792
1881,Valrico,793
1884,Plant City,794
1887,Avon Park,795
1890,Riverview,796
1892,South Pasadena,797
1895,Pinellas Park,798
1899,New Port Richey,799
1904,Zephyrhills,800
1905,Seminole,801
1906,Kissimmee,802
1907,Palmetto,803
1908,Trinity,804
1912,Melbourne,805
1915,Fort Pierce,806
1918,Bennettsville,807
1922,Bethune,808
1926,Lyman,809
1929,Seneca,810
1931,Six Mile,811
1937,Buford,812
1941,West Columbia,813
1942,Ninety Six,814
1945,Chappells,815
1948,Roswell,816
1949,Kershaw,817
1961,Rock Hill,818
1967,Sumter,819
1974,Pendleton,820
1979,Kennesaw,821
1981,Wedgefield,822
1983,Coward,823
1987,Cumming,824
1991,Little Mountain,825
1999,Swansea,826
2000,Lithonia,827
2001,Conway,828
2003,Little River,829
2006,Lugoff,830
2012,Lamar,831
2016,Pomaria,832
2021,Hartsville,833
2054,Nichols,834
2055,Calhoun,835
2057,Travelers Rest,836
2061,Darlington,837
2062,Wellborn,838
2063,Live Oak,839
2066,Lake City,840
2074,Fernandina Beach,841
2081,Atlantic Beach,842
2087,Dothan,843
2088,Midway,844
2089,Hardeeville,845
2093,Williston,846
2095,Huger,847
2099,Round O,848
2102,Macon,849
2103,North Augusta,850
2107,Bonaire,851
2109,Cameron,852
2110,North Charleston,853
2112,Summerton,854
2119,Cottageville,855
2120,Saint George,856
2123,Ridgeville,857
2134,Charleston,858
2152,St. Louis,859
2155,Maryland Heights,860
2159,East Saint Louis,861
2160,Waupaca,862
2162,Hastings,863
2163,Elko New Market,864
2172,Prior Lake,865
2175,Cannon Falls,866
2176,Hutchinson,867
2182,Morgan,868
2183,Northfield,869
2185,Winnebago,870
2186,Wykoff,871
2190,Pekin,872
2194,North Pekin,873
2212,Saint Peters,874
2216,Sweet Springs,875
2218,Marshall,876
2219,Shawnee,877
2222,Caledonia,878
2223,Waukegan,879
2224,Janesville,880
2225,Round Lake,881
2227,Gurnee,882
2230,Fox Lake,883
2235,Beach Park,884
2236,Finlayson,885
2237,Deerwood,886
2238,Downers Grove,887
2241,Maywood,888
2242,Bensenville,889
2243,Hanover Park,890
2244,Itasca,891
2245,Lisle,892
2246,West Chicago,893
2249,Northbrook,894
2250,Morton Grove,895
2251,Davenport,896
2252,Addison,897
2253,Roselle,898
2254,Woodridge,899
2256,Bloomingdale,900
2261,Hinsdale,901
2263,Bolingbrook,902
2264,Oak Brook,903
2272,Liberty Hill,904
2296,Scott,905
2298,West Monroe,906
2299,Slaton,907
2303,Lewisville,908
2305,Manor,909
2310,Mansfield,910
2314,Yukon,911
2315,Mustang,912
2316,Edmond,913
2337,Hurst,914
2354,Sunset Valley,915
2360,Grapevine,916
2368,Carrollton,917
2369,Aubrey,918
2384,Zachary,919
2389,Greenwell Springs,920
2396,Slaughter,921
2407,Mobile,922
2408,Loxley,923
2410,Fairhope,924
2412,Cherokee,925
2417,Richardson,926
2419,Sunnyvale,927
2441,Mesquite,928
2462,Plano,929
2479,Pearl,930
2486,Houma,931
2493,Hartselle,932
2497,Milton,933
2503,Evergreen,934
2508,Hayneville,935
2510,Goodlettsville,936
2516,Montevallo,937
2520,Hillsboro,938
2522,Elkmont,939
2523,Tanner,940
2526,Eglin AFB,941
2527,Remlap,942
2528,Oneonta,943
2530,Wetumpka,944
2532,Troy,945
2534,Pike Road,946
2541,Verbena,947
2543,Meridianville,948
2547,Scottsboro,949
2551,Shorter,950
2554,Brownsville,951
2555,Hattiesburg,952
2567,Humble,953
2590,Stafford,954
2630,Aurora,955
2632,Price,956
2651,Broomfield,957
2654,Springville-Mapleton,958
2656,Tooele,959
2657,Lehi,960
2660,Santaquin,961
2662,North Salt Lake,962
2666,Lake Havasu City,963
2667,Buckeye,964
2669,Wickenburg,965
2670,Goodyear,966
2671,Las Vegas,967
2674,Tucson,968
2675,Tempe,969
2681,Maricopa,970
2683,Youngtown,971
2684,Peoria,972
2699,New River,973
2700,Gilbert,974
2712,Sedona,975
2717,Grants,976
2718,Bluewater,977
2719,Thoreau,978
2728,Jordan Valley,979
2729,Trail,980
2730,Medford,981
2731,Coquille,982
2732,Bend,983
2733,Hubbard,984
2736,Huntington,985
2739,Prineville,986
2753,Cheney,987
2754,Spokane,988
2758,Bothell,989
2768,La Grande,990
2774,Ilwaco,991
2781,Fish Camp,992
2782,Coleville,993
2783,June Lake,994
2789,Concord,995
2792,Sunol,996
2796,Lafayette,997
2804,San Bruno,998
2811,Corning,999
2815,El Sobrante,1000
2816,Manteca,1001
2819,Colfax,1002
2820,Gustine,1003
2821,Acampo,1004
2826,San Pablo,1005
2829,Jamestown,1006
2830,Fairfield,1007
2834,Walnut Creek,1008
2835,Pleasant Hill,1009
2838,Berkeley,1010
2841,Saratoga,1011
2842,Atherton,1012
2845,Union City,1013
2848,West Sacramento,1014
2855,Yuba City,1015
2859,Sebastopol,1016
2861,Salyer,1017
2863,Calistoga,1018
2867,Albion,1019
2868,Geyserville,1020
2869,Watsonville,1021
2871,Salinas,1022
2872,Moss Landing,1023
2875,Templeton,1024
2876,Summerland,1025
2878,Corcoran,1026
2880,Shandon,1027
2882,Santa Maria,1028
2883,Lost Hills,1029
2885,Santa Barbara,1030
2889,Paso Robles,1031
2891,Ojai,1032
2894,Madera,1033
2901,Kettleman City,1034
2913,Alhambra,1035
2914,Santa Clarita,1036
2924,Hacienda Heights,1037
2925,Bellflower,1038
2926,Porter Ranch,1039
2927,Palmdale,1040
2930,South El Monte,1041
2934,Mojave,1042
2947,Bonsall,1043
2957,Rosamond,1044
2960,Van Nuys,1045
2963,Lake Arrowhead,1046
2972,Downey,1047
2980,Caliente,1048
2987,Thousand Oaks,1049
2992,San Marcos,1050
3007,Rancho Cucamonga,1051
3011,Artesia,1052
3016,West Springfield,1053
3022,Woburn,1054
3029,Center Line,1055
3032,Westborough,1056
3034,Verona,1057
3036,Ballston Spa,1058
3040,Kalamazoo,1059
3043,Astoria,1060
3044,Woodside,1061
3049,Weehawken,1062
3052,West Harrison,1063
3054,Ambler,1064
3055,Absecon,1065
3060,Tarrytown,1066
3061,Stroudsburg,1067
3062,Kenilworth,1068
3063,Pittston,1069
3067,Lagrangeville,1070
3068,Roslyn Heights,1071
3071,Teaneck,1072
3073,Bloomfield,1073
3077,Greentown,1074
3079,Oakland Gardens,1075
3082,Pottstown,1076
3084,Amityville,1077
3086,South Amboy,1078
3087,Cromwell,1079
3088,Middlebrook,1080
3089,Staunton,1081
3091,Lawrence,1082
3092,Chambersburg,1083
3095,Reedsville,1084
3096,Bel Air,1085
3099,Lenhartsville,1086
3101,Orangeville,1087
3102,Muncy,1088
3109,Germantown,1089
3112,Aberdeen,1090
3115,West Chester,1091
3117,Otto,1092
3121,Pioneer,1093
3123,Crab Orchard,1094
3125,Gaffney,1095
3140,Fort Mill,1096
3147,Amelia Court House,1097
3149,Enfield,1098
3154,Smithfield,1099
3158,Colonial Heights,1100
3169,Jupiter,1101
3182,Miami Beach,1102
3197,Gibsonton,1103
3204,Loris,1104
3215,Gray Court,1105
3221,Dalzell,1106
3222,Enoree,1107
3225,Clemson,1108
3240,Yulee,1109
3241,Orange Park,1110
3246,Fairburn,1111
3251,Santee,1112
3252,Forsyth,1113
3267,Heflin,1114
3270,Mankato,1115
3271,Pine Island,1116
3272,Saint Peter,1117
3279,Burnsville,1118
3280,Savage,1119
3287,Cottage Grove,1120
3288,Inver Grove Heights,1121
3291,South Saint Paul,1122
3302,Eden Prairie,1123
3316,Wilson,1124
3326,Excelsior,1125
3327,Minnetonka,1126
3341,Ellendale,1127
3342,Preston,1128
3351,Rogers,1129
3352,Forest Lake,1130
3366,Hudson,1131
3367,Circle Pines,1132
3376,Rush City,1133
3378,Earth City,1134
3382,Overland Park,1135
3383,Lenexa,1136
3384,Olathe,1137
3385,Oak Grove,1138
3402,Grayslake,1139
3406,New Lenox,1140
3407,Tekamah,1141
3411,West Liberty,1142
3412,Worth,1143
3425,Hutto,1144
3441,Burleson,1145
3450,Grand Prairie,1146
3453,Norman,1147
3459,Pauls Valley,1148
3463,Jarrell,1149
3464,Lake Dallas,1150
3516,Duncanville,1151
3536,Marion,1152
3539,Joelton,1153
3543,Mc Kenzie,1154
3551,Westlake,1155
3559,Owasso,1156
3561,Spring,1157
3564,Baird,1158
3565,Aguilar,1159
3566,Idaho Springs,1160
3567,Commerce City,1161
3572,Littleton,1162
3573,Castle Rock,1163
3579,Byers,1164
3580,Golden,1165
3581,Parker,1166
3583,Wamsutter,1167
3584,Canon City,1168
3585,Beaver,1169
3589,American Fork,1170
3590,Payson,1171
3595,Angel Fire,1172
3613,Prewitt,1173
3614,Blue River,1174
3616,Redmond,1175
3624,Newberg,1176
3626,Bow,1177
3629,Milpitas,1178
3634,Benicia,1179
3638,Oroville,1180
3644,South San Francisco,1181
3646,Millbrae,1182
3655,Winnemucca,1183
3659,Aptos,1184
3660,Lockwood,1185
3661,San Juan Bautista,1186
3667,Morro Bay,1187
3679,El Monte,1188
3681,Montebello,1189
3684,Commerce,1190
3687,Brea,1191
3690,Topanga,1192
3694,Boron,1193
3695,Los Alamitos,1194
3698,View Park,1195
3700,Cardiff By the Sea,1196
3717,Littlerock,1197
3726,Huntington Park,1198
3731,Camp Pendleton,1199
3736,San Clemente,1200
3744,Santa Fe Springs,1201
3745,Newbury Park,1202
3755,Castaic,1203
3756,Wrightwood,1204
3776,Fountain Valley,1205
3792,Lawndale,1206
3793,Burbank,1207
3802,Duxbury,1208
3805,Nottingham,1209
3808,Hingham,1210
3812,East Providence,1211
3814,East Lansing,1212
3816,Livonia,1213
3817,Farmington,1214
3828,Framingham,1215
3830,Lebanon,1216
3832,Clifton Park,1217
3833,Mechanicville,1218
3836,Clinton Township,1219
3840,Clark,1220
3844,Haverstraw,1221
3846,Cedar Knolls,1222
3847,Montville,1223
3849,Maspeth,1224
3852,Blue Bell,1225
3861,South Ozone Park,1226
3863,Orange,1227
3865,Shelton,1228
3870,Nanuet,1229
3872,East Haven,1230
3874,Stratford,1231
3876,Brick,1232
3880,Hyndman,1233
3884,Coraopolis,1234
3887,Culpeper,1235
3889,Fairfax Station,1236
3890,State College,1237
3891,Warrenton,1238
3892,Watsontown,1239
3894,Annville,1240
3896,Greencastle,1241
3897,Glen Burnie,1242
3901,Shamokin,1243
3902,Joppa,1244
3903,Charlottesville,1245
3905,Ruther Glen,1246
3908,Annapolis,1247
3910,Vienna,1248
3912,Abingdon,1249
3916,Tappahannock,1250
3917,Mount Jackson,1251
3921,Brazil,1252
3923,Thorntown,1253
3932,Elberfeld,1254
3940,Dublin,1255
3955,Erlanger,1256
3956,Ft Mitchell,1257
3957,Grove City,1258
3959,Olive Hill,1259
3960,Vandalia,1260
3967,Kodak,1261
3968,Clintwood,1262
3969,Flat Rock,1263
3971,Buchanan,1264
3985,Saltville,1265
3987,Rural Retreat,1266
3991,Swords Creek,1267
3992,Rustburg,1268
4000,Jarratt,1269
4011,Dinwiddie,1270
4019,Hayes,1271
4023,Chesapeake,1272
4039,Tavernier,1273
4052,Pickens,1274
4054,Belton,1275
4057,Saint Pauls,1276
4058,Walhalla,1277
4063,Duluth,1278
4067,Prosperity,1279
4077,Trenton,1280
4081,Roebuck,1281
4082,Carlisle,1282
4087,Alpharetta,1283
4093,Alcolu,1284
4097,Woodruff,1285
4114,Saint Johns,1286
4117,Saint Augustine,1287
4131,Jacksonville Beach,1288
4134,Port Wentworth,1289
4140,Juliette,1290
4148,Conyers,1291
4150,McDonough,1292
