,state,state_n
0,IA,0
2,MI,1
4,NJ,2
5,WA,3
7,OR,4
9,CA,5
18,MA,6
29,NY,7
50,PA,8
70,CT,9
84,DE,10
94,RI,11
103,VA,12
110,DC,13
118,MD,14
123,IN,15
124,KY,16
131,OH,17
133,NC,18
148,SC,19
164,FL,20
198,GA,21
231,MO,22
239,MN,23
243,IL,24
244,NE,25
265,TX,26
277,OK,27
285,LA,28
294,AL,29
303,TN,30
354,UT,31
356,CO,32
363,AZ,33
382,NV,34
486,NH,35
891,KS,36
895,WI,37
995,MS,38
1063,NM,39
1338,ME,40
1691,WV,41
3536,AR,42
3583,WY,43
4577,VT,44
26070,ID,45
76633,ND,46
173100,MT,47
407337,SD,48
